record_id,title_or_category,decision,reason
NW01,"Clinical practice guidelines for telesurgery, 2nd Edition",retain,Guideline states required bandwidth is robot/codec-specific; calls for no large delay/significant jitter/loss; recommends network+new encode/decode processing delay within 100 ms maximum; redundancy should be tested through failure/switch/recovery.
NW02,Expert Consensus-Based Technical Guidelines for Remote Robotic-Assisted Surgery and Procedures,retain,Defines fundamental requirements for reliable surgical-grade networking and explicitly avoids universal numeric latency/jitter/bandwidth specifications because use cases differ.
NW03,Clinical Recommendations for Remote Robotic Assisted Surgery From the CRSA 2025 International Consensus Conference,retain,"Consensus recommends 99.999% uptime, guaranteed bandwidth, total teleoperation latency <300 ms and ideally <200 ms, minimal/no jitter and zero/near-zero loss."
NW04,A Multidimensional Perspective on Network Conditions in Telesurgery,retain,Pilot in-vitro navigation study treats network state as a 4D space; worsening conditions reduced feasibility and performance; latency and packet loss were dominant and interactions were significant.
NW05,Tele-assessment of bandwidth limitation for remote robotics surgery,retain,"At 145 Mbps available bandwidth, 3–7% packet loss and visible image degradation occurred; 120-Mbps video setting performed worse than 40/20 Mbps under that constrained condition; authors concluded ≥150 Mbps for their hinotori setup."
NW06,Verification of delay time and image compression thresholds for telesurgery,retain,Eight robotic surgeons tested 30/50/100/150-ms delay and 120/60/30/20/10-Mbps video; 30–50 ms were rated feasible while 100–150 ms were rated lower; compression down to 10 Mbps remained usable in that setup.
NW07,Maximum acceptable communication delay for the realization of telesurgery,retain,34 participants tested 0–300 ms; performance worsened as delay increased; experienced surgeons remained comparable to less-experienced no-delay performance at ≤100 ms in this setup.
NW08,Effect of video lag on laparoscopic surgery: correlation between performance and usability at low latencies,retain,15 trainees and 14 surgeons showed significant performance and usability deterioration at 105 ms added video latency; surgeons were more negatively affected.
NW09,Influence of network latency and bandwidth on robot-assisted laparoscopic telesurgery: A pre-clinical experiment,retain,108 animal operations over 3000 km explored 170–320-ms total latency and bandwidth down to <1 Mbps; image clarity was adaptively reduced as bandwidth narrowed; latency increased workload more than image-clarity reduction.
NW10,Impact of data compression and security devices on telesurgery systems,retain,hinotori tests used 120–20 Mbps image bitrates across 1-Gbps best-effort/IOWN and 100-Mbps guaranteed links; stable operation depended on adequate headroom; security devices added ≤2 ms in tested conditions.
NW11,Toward safe clinical deployment of remote robotic surgery in Japan: five-year validation of the hinotori system using 5G wireless communication,retain,Summarizes >30 validations: QoS prevented packet loss/video degradation under heavy competing traffic; redundancy testing showed VPN reconnection in 5–11 s after simulated failures; Sub6 SA produced more predictable behavior than some alternatives.
NW12,System-level evaluation of 5G standalone communication infrastructure for robotic telesurgery,retain,5G SA configurations achieved sub-120-ms latency with stable video in controlled tests; 4G/high-bitrate NSA produced higher latency/freezes; SA Sub6 degraded beyond heavy background traffic (>400 Mbps in the reported setup).
NW13,Construction of redundant communications to enhance safety against communication interruptions during robotic remote surgery,retain,"Two commercial lines and redundant encoder interfaces were used; across 16 pig surgeries, 175 line switches were induced and no surgeon-detected abnormalities coincided with switching."
NW14,"Safety and reliability of telesurgery in China: a multicenter, single-arm, phase I clinical trial",retain,"18 patients across four hospitals: mean RTT 38.38±13.25 ms, jitter 0.39±0.29 ms, encode/decode latency 20.02±0.06 ms, code rate 12.77±0.57 Mbps, display latency 21.35±3.42 ms; no frame loss."
