source_id,title,authors,year,venue,evidence_type,doi,url,network_focus,main_finding,limitation
NW01,"Clinical practice guidelines for telesurgery, 2nd Edition",Mori M et al.,2026,Surgery Today 56:1047–1065,Guideline,10.1007/s00595-026-03295-z,https://doi.org/10.1007/s00595-026-03295-z,Network requirements; latency; jitter; loss; bandwidth; redundancy,Guideline states required bandwidth is robot/codec-specific; calls for no large delay/significant jitter/loss; recommends network+new encode/decode processing delay within 100 ms maximum; redundancy should be tested through failure/switch/recovery.,"Consensus/guideline threshold, not a universal physical limit."
NW02,Expert Consensus-Based Technical Guidelines for Remote Robotic-Assisted Surgery and Procedures,Wang Y et al.,2025,World Journal of Surgery 49:1708–1721,Technical guideline,10.1002/wjs.12653,https://doi.org/10.1002/wjs.12653,Surgical-grade networks; QoS; redundancy; failover; security,Defines fundamental requirements for reliable surgical-grade networking and explicitly avoids universal numeric latency/jitter/bandwidth specifications because use cases differ.,Industry/clinical expert consensus; does not evaluate a single clinical system.
NW03,Clinical Recommendations for Remote Robotic Assisted Surgery From the CRSA 2025 International Consensus Conference,Fong Y et al.,2026,World Journal of Surgery,Clinical consensus,10.1002/wjs.70468,https://doi.org/10.1002/wjs.70468,Uptime; bandwidth; latency; jitter; packet loss,"Consensus recommends 99.999% uptime, guaranteed bandwidth, total teleoperation latency <300 ms and ideally <200 ms, minimal/no jitter and zero/near-zero loss.",Consensus target differs from Japanese guideline definition; not evidence of one universal safe threshold.
NW04,A Multidimensional Perspective on Network Conditions in Telesurgery,Heemeyer C et al.,2026,Advanced Intelligent Systems,Peer-reviewed experimental study,10.1002/aisy.70546,https://doi.org/10.1002/aisy.70546,Latency × bandwidth × jitter × packet loss interactions,Pilot in-vitro navigation study treats network state as a 4D space; worsening conditions reduced feasibility and performance; latency and packet loss were dominant and interactions were significant.,In-vitro neurovascular task and system-specific network stack; downstream CV reliability not studied.
NW05,Tele-assessment of bandwidth limitation for remote robotics surgery,Ebihara Y et al.,2022,Surgery Today 52:1653–1659,Peer-reviewed experimental study,10.1007/s00595-022-02497-5,https://doi.org/10.1007/s00595-022-02497-5,Bandwidth; packet loss; image degradation; video compression,"At 145 Mbps available bandwidth, 3–7% packet loss and visible image degradation occurred; 120-Mbps video setting performed worse than 40/20 Mbps under that constrained condition; authors concluded ≥150 Mbps for their hinotori setup.",System-specific requirement; video/control/audio overhead and codec settings differ across platforms.
NW06,Verification of delay time and image compression thresholds for telesurgery,Takahashi Y et al.,2023,Asian Journal of Endoscopic Surgery 16:255–261,Peer-reviewed animal/experimental study,10.1111/ases.13150,https://doi.org/10.1111/ases.13150,Added delay; video bitrate/compression,Eight robotic surgeons tested 30/50/100/150-ms delay and 120/60/30/20/10-Mbps video; 30–50 ms were rated feasible while 100–150 ms were rated lower; compression down to 10 Mbps remained usable in that setup.,Subjective/animal-model validation and hinotori-specific encoder; delay definition is experiment-specific.
NW07,Maximum acceptable communication delay for the realization of telesurgery,Nankaku A et al.,2022,PLOS ONE 17:e0274328,Peer-reviewed simulator/dynamic-task study,10.1371/journal.pone.0274328,https://doi.org/10.1371/journal.pone.0274328,Network + encode/decode delay; task performance,34 participants tested 0–300 ms; performance worsened as delay increased; experienced surgeons remained comparable to less-experienced no-delay performance at ≤100 ms in this setup.,Prototype/simulated tasks; fixed latency with no jitter/loss; ~50 ms encoder/decoder contribution in delayed conditions.
NW08,Effect of video lag on laparoscopic surgery: correlation between performance and usability at low latencies,Kumcu A et al.,2017,International Journal of Medical Robotics and Computer Assisted Surgery 13,Peer-reviewed human simulator study,10.1002/rcs.1758,https://doi.org/10.1002/rcs.1758,Video/display latency,15 trainees and 14 surgeons showed significant performance and usability deterioration at 105 ms added video latency; surgeons were more negatively affected.,"Laparoscopic trainer, not complete teleoperation loop; added-latency definition differs from RTT."
NW09,Influence of network latency and bandwidth on robot-assisted laparoscopic telesurgery: A pre-clinical experiment,Wang Y et al.,2024,Chinese Medical Journal,Peer-reviewed preclinical study,10.1097/CM9.0000000000003257,https://doi.org/10.1097/CM9.0000000000003257,Latency; bandwidth; adaptive image compression; frame loss,108 animal operations over 3000 km explored 170–320-ms total latency and bandwidth down to <1 Mbps; image clarity was adaptively reduced as bandwidth narrowed; latency increased workload more than image-clarity reduction.,Authors call 320 ms acceptable for their system/tasks; should not be generalized as universal limit.
NW10,Impact of data compression and security devices on telesurgery systems,Morohashi H et al.,2026,Surgery Today 56:359–368,Peer-reviewed experimental study,10.1007/s00595-025-03142-7,https://doi.org/10.1007/s00595-025-03142-7,Video bitrate; available bandwidth; security-device overhead,hinotori tests used 120–20 Mbps image bitrates across 1-Gbps best-effort/IOWN and 100-Mbps guaranteed links; stable operation depended on adequate headroom; security devices added ≤2 ms in tested conditions.,Artificial-organ task and specific security/network devices.
NW11,Toward safe clinical deployment of remote robotic surgery in Japan: five-year validation of the hinotori system using 5G wireless communication,Hara T et al.,2025,International Journal of Clinical Oncology 30:2389–2398,Peer-reviewed technical/operational synthesis,10.1007/s10147-025-02874-3,https://doi.org/10.1007/s10147-025-02874-3,5G SA/NSA; QoS; congestion; video continuity; failover,Summarizes >30 validations: QoS prevented packet loss/video degradation under heavy competing traffic; redundancy testing showed VPN reconnection in 5–11 s after simulated failures; Sub6 SA produced more predictable behavior than some alternatives.,Synthesis around one platform and Japanese deployment programme.
NW12,System-level evaluation of 5G standalone communication infrastructure for robotic telesurgery,Hara T et al.,2026,International Journal of Computer Assisted Radiology and Surgery,Peer-reviewed feasibility study,10.1007/s11548-026-03738-5,https://doi.org/10.1007/s11548-026-03738-5,4G/5G NSA/SA; RTT; buffers; congestion; video freezes,5G SA configurations achieved sub-120-ms latency with stable video in controlled tests; 4G/high-bitrate NSA produced higher latency/freezes; SA Sub6 degraded beyond heavy background traffic (>400 Mbps in the reported setup).,Controlled system test; not a clinical trial and results are configuration-specific.
