source_id,status,evidence_class,title,authors,year,venue,doi,pmid,url,role_in_P0_1,notes
S01,retain-core,Regulatory technical-review evidence,MT-1000 Endoscopic Surgical System — Medical Device Product Registration Technical Review Report (Acceptance No. CQZ2100611),National Medical Products Administration / Center for Medical Device Evaluation (publicly mirrored copy),2022,NMPA/CMDE technical review,,,https://qx-files.yaozh.com/reviewreport/CQZ2100611.pdf,Defines MT-1000 composition and master–slave working principle.,Regulatory document is publicly mirrored; the official CMDE host was not rediscovered during the 2026-09-25 audit. Verify the official-host copy before manuscript submission.
S02,retain-core,Manufacturer product documentation,Toumai MT-1000 Endoscopic Surgical System product page,MicroPort,2026,Official manufacturer product documentation,,,https://www.microport.com.cn/products/yljqrszhyl/wjssxt/185.html,Corroborates MT-1000 component model names and current approved specialties.,"Manufacturer source; used for product identity, not independent performance validation."
S03,retain-core,Peer-reviewed primary study,Evaluation of the Toumai robotic system in partial nephrectomy and key system features,Gaurab Pokhrel; Haoke Zheng; Jin Tao; Yafeng Fan; Yunlong Liu; Biao Dong; Shuanbao Yu; Xuepei Zhang,2025,Scientific Reports 15:13046,10.1038/s41598-025-97124-x,40240465,https://doi.org/10.1038/s41598-025-97124-x,"Best peer-reviewed technical description of control response, haptics, instruments and vision features.","Authors explicitly state advanced-feature technical performance, including force-feedback precision and algorithm reliability, was not objectively quantified."
S04,retain-core,Peer-reviewed primary study,Application of 5G Remote Robotic-assisted Laparoscopy in Urological Surgery: A Small Sample Analysis,Fenghai Zhou; Baihong Guo; Haidi Lv; Xiaofeng Zhang; Yunfeng Zhang; Bin Feng; Fa Zhang; Qiangzhao Liu,2025,Urology 197:110–114,10.1016/j.urology.2024.11.019,39557365,https://doi.org/10.1016/j.urology.2024.11.019,"14 Toumai 5G urologic cases with throughput, latency extrema and packet-loss data.",52 km deployment; metrics are deployment-specific.
S05,retain-core,Peer-reviewed prospective controlled trial,The safety and feasibility of telerobotic cholecystectomy via a 5G network: a prospective controlled clinical trial,Jing Yang; Weipeng Zhan; Zeping Zhang; Yuqi Ma; Hongwei Tian; Ming Hu; Xianbing Huang; Wutang Jing; Jin Guo; Yuan Deng; Wei Fang; Dongdong Chen; Changfeng Miao; Shixun Ma; Wentao Zhang; Yuntao Ma; Hui Cai,2025,Surgical Endoscopy 39(11):7336–7346,10.1007/s00464-025-12005-8,40877633,https://doi.org/10.1007/s00464-025-12005-8,"20 remote Toumai cholecystectomies; detailed latency, jitter, throughput and packet-loss measurements.",A 3-second interruption/automatic standby detail is reported in the later Brucchi review of this dataset and is cited as such.
S06,retain-core,Peer-reviewed primary case report,The era of telesurgery: insights from ultra-long-distance Asia to Middle East human telesurgery robotic assisted radical prostatectomy,Saad Aldousari; Ahmad Almarzouq; Abdelkareem Hassan; Ahmed Shahin; Saleh Bubishate; Basmah Bahbahani,2025,Journal of Robotic Surgery 19:108,10.1007/s11701-025-02274-9,40064737,https://doi.org/10.1007/s11701-025-02274-9,"~7000 km human Toumai RARP with RTT, primary/backup links, cloud/VPN/firewall details and bedside takeover capability.",Single case; topology is not universal Toumai architecture.
S07,retain-core,Peer-reviewed multicentre retrospective study,Current perspectives of telesurgery applications among different specialties: first multicentric and multispecialty retrospective study,Maria Chiara Sighinolfi; Marcio Covas Moschovas; Zhao Qun; Ma Yuntao; Cai Hui; Xia Dan; Wang Shuo; Liang Xiao; Wang Jun; Bernardo Rocco; Vipul Patel,2025,Journal of Robotic Surgery 19:247,10.1007/s11701-025-02393-3,40434479,https://doi.org/10.1007/s11701-025-02393-3,66 Toumai telesurgeries across specialties; distances and mean delay by specialty.,"Retrospective, heterogeneous procedures and sites."
S08,retain-core,Peer-reviewed primary case report,Pioneering telesurgery in gynecology: the first European case of total hysterectomy,Enrico Pazzaglia; Pietro Pasquini; Emily Jamaer; Koen Traen; Evelyn Despierre; Alexandre Mottrie,2025,Journal of Robotic Surgery 19:460,10.1007/s11701-025-02638-1,40779084,https://doi.org/10.1007/s11701-025-02638-1,"~20 km European deployment with mean latency and jitter, high image quality, no connection issues and standby surgeon.","Short-distance, site-specific implementation."
S09,retain-core,Peer-reviewed prospective single-arm trial,"Safety and feasibility of robot-assisted remote radical gastrectomy for gastric cancer based on 5G communication technology (FUTURE-04): a prospective, single-arm clinical trial",Honghai Guo; Yuan Tian; Ping'an Ding; Jiaxuan Yang; Peigang Yang; Jinchen He; Yang Liu; Ze Zhang; Tao Zheng; Zhidong Zhang; Xuefeng Zhao; Yu Liu; Qun Zhao,2026,Gastric Cancer 29(1):238–249,10.1007/s10120-025-01687-7,41251879,https://doi.org/10.1007/s10120-025-01687-7,"27 remote Toumai radical gastrectomies; total delay, network RTT and packet loss.",Short-distance (15 km) dedicated 5G context.
S10,retain-core,Peer-reviewed prospective study,Telerobotic partial nephrectomy and radical prostatectomy using a hybrid network: A single-center prospective experience,Gaurab Pokhrel; Shuanbao Yu; Haoke Zheng; Jin Tao; Jinshan Cui; Yunlong Liu; Yafeng Fan; Yonghao Zhan; Biao Dong; Zhaowei Zhu; Xuepei Zhang,2026,European Journal of Surgical Oncology 52(8):111963,10.1016/j.ejso.2026.111963,42322709,https://doi.org/10.1016/j.ejso.2026.111963,13 Toumai PN/RP cases over 25 km comparing fiber and 5G latency.,Packet loss is an outcome in the study; accessible abstract does not expose all packet-loss values.
