source_id,study,cases,distance,network,rtt,other_latency,max_latency,jitter,packet_loss,bandwidth,safety_redundancy,interpretation_note
S04,Zhou et al. 2025,14 urologic cases,52 km,5G,NR,20.7 ms average minimum latency,129.3 ms average maximum latency,NR,0%,216.5 Mbps down; 86.6 Mbps up,No complications/conversions; clear field reported,"Latency terms are study-reported min/max, not RTT."
S05,Yang et al. 2025,20 remote cholecystectomies,70 km,5G,NR,43.4 ms average network delay,NR,4 ms,<1%,98.3 Mbps upload; 213 Mbps download,Later review reports one ~3 s interruption triggered automatic standby,Prospective controlled trial.
S06,Aldousari et al. 2025,1 RARP,~7000 km,fiber primary + 5G backup; 2 wired backups at surgeon side,181.4 ms average RTT,NR,304 ms max RTT reported in later review,NR,NR,NR,Experienced bedside robotic surgeon; cloud VPN and firewalls described,Single international case.
S07,Sighinolfi et al. 2025,66 multispecialty cases,mean 800 km urology; 220 km general; 300 km gynecology,5G deployments,NR,65 ms urology; 34 ms general; 61 ms gynecology mean delay,urology range 47–147 ms reported in later synthesis,NR,NR,NR,No conversion to local surgery,"Retrospective, multicentre and heterogeneous."
S08,Pazzaglia et al. 2025,1 hysterectomy,~20 km,standard institutional network,NR,20 ms mean latency,NR,<10 ms,No connection issues reported,NR,On-site standby surgeon,Short-distance Europe case.
S09,Guo et al. 2026 FUTURE-04,27 radical gastrectomies,15 km,5G,31.6 ± 3.8 ms round-trip network delay,226.2 ± 4.4 ms total delay,NR,NR,<0.1%,NR,"Standby bedside surgeon, backup console and predefined conversion triggers reported in synthesis",Distinguishes network round-trip delay from total delay.
S10,Pokhrel et al. 2026,13 PN/RP cases,25 km,hybrid fiber + 5G,NR,12 ms median fiber; 46 ms median 5G,NR,NR,Measured; exact values not exposed in accessible abstract,NR,No major network disruptions,Prospective; abstract-level network extraction.
S11,Pan et al. 2026,21 multispecialty cases,~3700 km,primary China Telecom 5G dedicated line; China Mobile + China Unicom backup,37.7 ± 5.6 ms mean RTT,NR,47.5 ± 5.4 ms mean maximum latency; range up to 55 ms,2.2 ± 0.5 ms,0%,Preset >100 Mbps,No interruptions; no link switching required; emergency drills and local takeover plan,"Preset: RTT <100 ms (minimum safe <200), loss <1% (minimum safe <2), jitter <10 ms."
S13,MicroPort 2025 commercial-use release,manufacturer network tests,inter-provincial / cross-carrier-country-continent,5G/broadband/fiber/satellite,<50 ms bidirectional inter-provincial; <150 ms cross-carrier/international (manufacturer claim),NR,NR,NR,NR,NR,Manufacturer claims adaptive network optimization and safety protocols,Not independent.
S14,MicroPort 2025 LEO demo,2 liver tumor resections,LEO demonstration,LEO satellite,NR,<60 ms one-way latency (manufacturer claim),NR,NR,NR,NR,Manufacturer reports stable procedures,Not independent; not Nigeria.
S15/S16,RHV–Nisa Nigeria 2026,1 right radical nephrectomy,>500 km,Starlink primary; MTN backup,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Bedside team present; brief equipment/system checks reported,No public raw telemetry identified in P0.1.
