source_id,title,authors,year,venue,source_type,doi,task,dataset,procedure,role_in_P0_2
SV01,Surgical data science – from concepts toward clinical translation,Maier-Hein L et al.,2022,Medical Image Analysis 76:102306,Field review,10.1016/j.media.2021.102306,field-wide SDS,multiple,multi-procedure,"Field framing, datasets, translation barriers"
SV02,"Deep learning for surgical workflow analysis: a survey of progresses, limitations, and trends",Li Y et al.,2024,Artificial Intelligence Review 57:291,Survey,10.1007/s10462-024-10929-6,phase/workflow,multiple workflow datasets,multiple MIS,"Workflow methods, datasets, metrics and limitations"
SV03,Deep learning in surgical process modeling: A systematic review of workflow recognition,Liu Z et al.,2025,Journal of Biomedical Informatics 162:104779,Systematic review,10.1016/j.jbi.2025.104779,phase/workflow,multiple,multiple MIS,Temporal modeling and annotation/dataset limitations
SV04,"Artificial intelligence in the operating room: A systematic review of AI models for surgical phase, instruments and anatomical structure identification",Paracchini S et al.,2025,Acta Obstet Gynecol Scand 104:2054–2064,Systematic review,10.1111/aogs.70045,phase; instruments; anatomy,multiple,multiple,Cross-task OR perspective
SV05,Methods and datasets for segmentation of minimally invasive surgical instruments in endoscopic images and videos: A review of the state of the art,Rueckert T et al.,2024,Computers in Biology and Medicine 169:107929,Review,10.1016/j.compbiomed.2024.107929,instrument segmentation,EndoVis; ROBUST-MIS; others,multiple MIS,Instrument segmentation field/dataset map
SV06,Deep learning approaches to surgical video segmentation and object detection: A scoping review,Kamtam DN et al.,2025,Computers in Biology and Medicine 194:110482,Scoping review,10.1016/j.compbiomed.2025.110482,segmentation; detection,multiple,multiple,Broad segmentation/detection and real-time evidence
SV07,BIAS: Transparent reporting of biomedical image analysis challenges,Maier-Hein L et al.,2020,Medical Image Analysis 66:101796,Reporting guideline,10.1016/j.media.2020.101796,challenge methodology,challenge-agnostic,N/A,Challenge reproducibility standard
SV08,EndoNet: A Deep Architecture for Recognition Tasks on Laparoscopic Videos,Twinanda AP et al.,2017,IEEE TMI 36(1):86–97,Method + dataset,10.1109/TMI.2016.2593957,phase; tool presence,Cholec80,laparoscopic cholecystectomy,Foundational Cholec80 workflow benchmark
SV09,TeCNO: Surgical Phase Recognition with Multi-Stage Temporal Convolutional Networks,Czempiel T et al.,2020,MICCAI 2020,Method,10.1007/978-3-030-59716-0_33,phase recognition,Cholec80; M2CAI16,laparoscopic cholecystectomy,Causal temporal baseline
SV10,Trans-SVNet: Accurate Phase Recognition from Surgical Videos via Hybrid Embedding Aggregation Transformer,Gao X et al.,2021,MICCAI 2021,Method,10.1007/978-3-030-87202-1_57,phase recognition,Cholec80; M2CAI16,laparoscopic cholecystectomy,Transformer-era phase baseline
SV11,LoViT: Long Video Transformer for surgical phase recognition,Liu Y et al.,2025,Medical Image Analysis 99:103366,Method,10.1016/j.media.2024.103366,online phase recognition,Cholec80; AutoLaparo,cholecystectomy; hysterectomy,Long-video transformer
SV12,AutoLaparo: A New Dataset of Integrated Multi-tasks for Image-guided Surgical Automation in Laparoscopic Hysterectomy,Wang Z et al.,2022,MICCAI 2022,Dataset/benchmark,10.1007/978-3-031-16449-1_46,workflow; camera motion; instrument/anatomy segmentation,AutoLaparo,laparoscopic hysterectomy,Integrated multitask human dataset
SV13,Comparative validation of machine learning algorithms for surgical workflow and skill analysis with the HeiChole benchmark,Wagner M et al.,2023,Medical Image Analysis 86:102770,Multicentre benchmark,10.1016/j.media.2023.102770,phase; action; instrument; skill,HeiChole,laparoscopic cholecystectomy,Multicentre generalisation benchmark
SV14,"Comparative validation of surgical phase recognition, instrument keypoint estimation, and instrument instance segmentation in endoscopy: Results of the PhaKIR 2024 challenge",Rueckert T et al.,2026,Medical Image Analysis 109:103945,Multicentre challenge,10.1016/j.media.2026.103945,phase; keypoint; instance segmentation,PhaKIR challenge,laparoscopic cholecystectomy,Cross-centre evidence across three tasks
