method_id,method_family,setting,shift_target,task,mechanism,p0_4_interpretation,source_ids
M01,Multicentre/diverse training,Data diversity,Natural centre/workflow shift,Phase/step; segmentation,Pooled heterogeneous source data,"Improves transfer/generalization in several studies, but needs representative domains",SH03;SH05;SH08
M02,Site-specific retraining / fine-tuning,Target adaptation,Hospital shift,Phase recognition,Uses labeled target-site data,Strong practical adaptation; not unseen-domain generalization,SH05
M03,Aggressive photometric augmentation,Augmentation / DG,Color/photometric shift,Instrument segmentation,Train-time color/brightness/contrast diversity,Strong recent external-site result; augmentation should match plausible appearance range,SH07
M04,One-to-many synthetic composition,Synthetic data / DG,Unseen surgical domain,Instrument segmentation,Generate many tissue/instrument compositions from few seeds,Reduces dependence on large labeled real source sets,SH14
M05,Teacher–student UDA,Unsupervised domain adaptation,Simulation→real,Instrument segmentation,Labeled synthetic source + unlabeled real target,Effective when target unlabeled data are available,SH12
M06,Graph-based domain-common knowledge UDA,Unsupervised domain adaptation,Cross-dataset target shift,Instrument segmentation,Feature/category graph alignment with unlabeled target,Established surgical UDA family; requires target data,SH13
M07,Video-text semantic adaptation,Multimodal domain adaptation,VR→clinical,Action recognition,CLIP video/text embedding alignment,Semantic text bridge can aid cross-domain transfer,SH15
M08,Object-centric graph representation,Domain generalization,Unseen centre,Scene understanding,Disentangle visual/semantic object relations,Targets invariant relational structure rather than raw appearance,SH06
M09,Causal vision + robot kinematics,Multimodal causal robustness,Visual counterfactual shift,Robot-tool segmentation,Differentiable rendering + kinematics + image features,Preserves performance under smoke/blood/brightness/background better than image-only comparator,SH10
M10,Temporal causal constraints,Multimodal temporal robustness,Visual domain shift,Robot-tool segmentation,Temporal optimization + kinematic correction + regularization,Improves CaRTS convergence and multi-domain performance,SH11
M11,Foundation model + anomaly prompt generation,Domain-agnostic weak supervision,Cross surgical modality/domain,Instrument segmentation,PatchCore localization + SAM2 segmentation,Avoids domain-specific segmentation training but remains two-stage,SH23
M12,Single-domain style normalization/whitening,Single-domain DG,Unseen centre/modality,Scene segmentation,"Style normalization, feature restitution, covariance whitening",Promising recent OOD surgical result,SH24 (preprint)
M13,Few-shot support adaptation,Few-shot transfer,Cross-domain,Phase recognition,Small labeled support set,Domain-specific examples remain important; performance declines with distant source domain,SH16
M14,Heavy augmentation + in-domain pretraining,Robust training,Synthetic image-quality corruption,Adjacent GI endoscopy,Data augmentation + SSL pretraining,Reduces corruption performance loss in adjacent endoscopy protocol,SH17
M15,Corruption-aware challenge training,Robust training,Smoke/bleeding/low-light,Robot-tool segmentation,Augmentation/robust model design against hidden corruption test,Shows visual corruption robustness is already a benchmarked surgical task,SH09
M16,Temporal smoothing,Post-processing,Prediction volatility,Workflow recognition,Modal/threshold smoothing over recent predictions,Reduces prediction volatility; can improve phase/step metrics,SH20
M17,Consistency learning with unlabeled video,Temporal representation,Prediction instability,Workflow recognition,Consistency loss + unlabeled surgical video,Improves consistency and workflow scores; not direct frame-loss robustness,SH21
M18,Few-shot parameter-efficient tuning,Test-domain adaptation / robust adaptation,Visual + packet-loss corruption,Temporal VLM,VeRA tuning on clean target train split,Emerging method for Endo-C6 corrupted TVLM robustness,SH18
