id,title,authors,year,venue,type,doi,url,task,shift,dataset,method,main,limit
SH01,Comparative validation of multi-instance instrument segmentation in endoscopy: Results of the ROBUST-MIS 2019 challenge,Roß T et al.,2021,Medical Image Analysis 70:101920,Peer-reviewed challenge report,10.1016/j.media.2020.101920,https://doi.org/10.1016/j.media.2020.101920,Instrument binary/instance segmentation and detection,Natural procedure/domain gap; challenging blood/smoke/motion artifacts,ROBUST-MIS,Multi-team benchmark; increasing domain-gap validation stages,A canonical surgical robustness/generalization benchmark; performance worsens as domain gap increases.,Primarily colorectal procedures from one institutional ecosystem; not a network/video-transport study.
SH02,Limited generalizability of single deep neural network for surgical instrument segmentation in different surgical environments,Kitaguchi D et al.,2022,Scientific Reports 12:12575,Peer-reviewed primary,10.1038/s41598-022-16923-8,https://doi.org/10.1038/s41598-022-16923-8,Instrument segmentation,Recording system; instrument morphology/version; surgery/procedure background,"5,238 images from 128 intraoperative videos",Cross-condition testing with fixed model,"Generalization falls even under seemingly modest changes in camera system, instrument or procedure.",Single study setting and task; factors are controlled but not a multicentre benchmark.
SH03,Challenges in multi-centric generalization: phase and step recognition in Roux-en-Y gastric bypass surgery,Lavanchy JL et al.,2024,International Journal of Computer Assisted Radiology and Surgery 19:2249–2257,Peer-reviewed multicentre study,10.1007/s11548-024-03166-3,https://doi.org/10.1007/s11548-024-03166-3,Phase and step recognition,Hospital/centre; workflow/technique; recording environment,MultiBypass140 (70 Strasbourg + 70 Bern),"Within-centre, pooled, and cross-centre experiments",Mono-centre models generalize poorly cross-centre; multicentre training improves generalization.,Two centres and one procedure; centre shift bundles several causal factors.
SH04,"Comparative validation of surgical phase recognition, instrument keypoint estimation, and instrument instance segmentation in endoscopy: Results of the PhaKIR 2024 challenge",Rueckert T et al.,2026,Medical Image Analysis 109:103945,Peer-reviewed multicentre challenge,10.1016/j.media.2026.103945,https://doi.org/10.1016/j.media.2026.103945,Phase recognition; keypoints; instrument instance segmentation,Medical centre / acquisition / workflow domain shift,13 full cholecystectomies from 3 centres,Challenge evaluation across centres/tasks,Methods show poor cross-centre generalizability across all three evaluated tasks.,Small number of full procedures; challenge-specific protocols.
SH05,Inter-hospital transferability of AI: A case study on phase recognition in cholecystectomy,Renz-Kiefel L et al.,2025,Computers in Biology and Medicine 192:110235,Peer-reviewed primary,10.1016/j.compbiomed.2025.110235,https://doi.org/10.1016/j.compbiomed.2025.110235,Surgical phase recognition,Hospital/surgeon/environment; manufacturer-specific instrument cues,104 public surgeries from 3 centres + 21 local MHB videos,"Public-only, local-only, combined and fine-tuned training",Public-only models transferred poorly to the local centre; diverse + site-specific data improved transfer.,Task/procedure specific; local adaptation uses target-site data.
SH06,Optimizing latent graph representations of surgical scenes for unseen domain generalization,Satyanaik S et al.,2024,International Journal of Computer Assisted Radiology and Surgery 19:1243–1250,Peer-reviewed multicentre method,10.1007/s11548-024-03121-2,https://doi.org/10.1007/s11548-024-03121-2,Surgical scene understanding / domain generalization,Unseen centre; workflow/camera/patient variation,Multicentre surgical-scene data,Object-centric latent graph representation,Object-centric scene representations are investigated to reduce unseen-centre domain sensitivity.,Method-specific study; not a standardized corruption benchmark.
SH07,Overcoming color domain shift in endoscopic spine surgery: robust instrument segmentation via aggressive photometric augmentation,Rhee W et al.,2026,Scientific Reports,Peer-reviewed primary,10.1038/s41598-026-61273-4,https://doi.org/10.1038/s41598-026-61273-4,Instrument segmentation,Inter-institutional color/photometric shift,"Internal/external endoscopic-spine cohorts; 10,662 segmentations",Photometric augmentation; CIELAB/MMD analysis,Baseline external DSC drops markedly; aggressive photometric augmentation restores strong external performance and reduces feature-domain discrepancy.,Color shift is a specific factor; recent early-version article.
SH08,Benchmarking deep learning pipelines for surgical instrument segmentation in endoscopic spine surgery: cross-dataset evaluation under deployment-realistic conditions,Mun BS et al.,2026,European Spine Journal,Peer-reviewed primary,10.1007/s00586-026-10162-5,https://doi.org/10.1007/s00586-026-10162-5,Instrument segmentation,Temporal external + cross-dataset/institutional shift,SNUBH biportal (56 patients) + SEA uniportal (60 patients),Seven pipelines; patient-level internal/temporal/cross-dataset evaluation,Cross-dataset performance can be detector-limited even for foundation-model pipelines; broader domain training substantially improves external results.,Endoscopic-spine task; small external samples limit equivalence claims.
SH09,SegSTRONG-C: Segmenting Surgical Tools Robustly On Non-adversarial Generated Corruptions — An EndoVis'24 Challenge,Ding H et al.,2024–2026,EndoVis / arXiv 2407.11906,Challenge report / preprint,10.48550/arXiv.2407.11906,https://arxiv.org/abs/2407.11906,Binary robot-tool segmentation,Photo-realistic smoke; over-bleeding; low brightness; digital corruptions,Mock endoscopic video sequences (6600 train / 3600 val / 5400 test cases on challenge site),Corruption benchmark + augmentation baselines,Direct surgical benchmark showing plausible non-adversarial corruptions materially challenge tool segmentation.,Mock endoscopy rather than human surgery; current canonical report is preprint/challenge material.
SH10,CaRTS: Causality-Driven Robot Tool Segmentation from Vision and Kinematics Data,Ding H et al.,2022,MICCAI 2022,Peer-reviewed conference,10.1007/978-3-031-16449-1_37,https://doi.org/10.1007/978-3-031-16449-1_37,Robot-tool segmentation,"Counterfactual low brightness, smoke, blood, altered background",Controlled synthetic + real dVRK scenarios,Causal vision + robot-kinematics model,Kinematics-informed causal segmentation preserves performance better than image-only baselines under counterfactual visual changes.,Controlled dVRK setting; not human clinical deployment and not network telemetry.
