record_id,title_or_category,decision,reason
RI01,On Calibration of Modern Neural Networks,retain,Modern neural networks can be miscalibrated; temperature scaling is a strong simple post-hoc baseline.
RI02,Can You Trust Your Model's Uncertainty? Evaluating Predictive Uncertainty Under Dataset Shift,retain,"Accuracy and calibration degrade under dataset shift; ordinary post-hoc calibration can fall short, while model-marginalizing approaches are comparatively strong."
RI03,Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles,retain,Independent ensembles provide a simple high-quality predictive-uncertainty baseline without full Bayesian inference.
RI04,Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning,retain,Inference-time dropout can approximate Bayesian model uncertainty using repeated stochastic forward passes.
RI05,What Uncertainties Do We Need in Bayesian Deep Learning for Computer Vision?,retain,Provides the widely used aleatoric/epistemic distinction and models both in computer vision.
RI06,Uncertainty Estimation in Medical Image Classification: Systematic Review,retain,MC dropout and deep ensembles were the most frequently used UQ methods; metrics and evaluation practice were heterogeneous.
RI07,A review of uncertainty quantification in medical image analysis: Probabilistic and non-probabilistic methods,retain,"Medical-imaging UQ spans probabilistic, ensemble, deterministic, calibration and other strategies with task-dependent evaluation."
RI08,Uncertainty quantification for artificial intelligence in medical imaging: what every radiologist needs to know,retain,"Distinguishes prediction confidence from UQ and highlights triage, thresholding, calibration, computational cost and prospective-validation challenges."
RI09,Confidence Calibration and Predictive Uncertainty Estimation for Deep Medical Image Segmentation,retain,Medical segmentation networks can be poorly calibrated and overconfident on correct and erroneous pixels; calibration/UQ must be evaluated explicitly.
RI10,Improving Calibration and Out-of-Distribution Detection in Deep Models for Medical Image Segmentation,retain,Multi-task training improves calibration and spectral feature-map signatures can identify OOD segmentation inputs.
RI11,Failure Detection in Deep Neural Networks for Medical Imaging,retain,Frames failure detection as identifying likely model errors rather than merely identifying OOD inputs.
RI12,Uncertainty Estimation for Safety-critical Scene Segmentation via Fine-grained Reward Maximization,retain,Direct surgical evidence that scene-segmentation uncertainty/calibration can be optimized while preserving task accuracy using one-pass inference.
RI13,Surgical Phase Recognition in Laparoscopic Cholecystectomy,retain,Calibrated confidence is already used operationally in surgical phase recognition to choose between models.
RI14,When Surgery Meets the Unknown: Uncertainty-Aware Open-Set Recognition for Surgery Phase Classification,retain,Open-set surgical phase recognition and uncertainty-aware rejection are already directly studied on cholecystectomy data.
RI15,Scene graph-guided uncertainty decomposition improves confidence calibration in surgical visual question answering,retain,"Direct surgical evidence combines uncertainty decomposition, calibration and selective answering; reported accuracy 63.58%, ECE 16.97%, risk-coverage AUC 0.0861."
RI16,Meta-SurDiff: Classification Diffusion Model Optimized by Meta Learning is Reliable for Online Surgical Phase Recognition,retain,Emerging work explicitly models frame-level uncertainty for online phase recognition across five datasets.
RI17,OpenMIBOOD: Open Medical Imaging Benchmarks for Out-Of-Distribution Detection,retain,PhaKIR is a dedicated endoscopy benchmark with smoke covariate shift plus near/far OOD datasets; rankings from natural-image OOD do not directly transfer to medical imaging.
RI18,A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks,retain,Provides the canonical simple confidence baseline for error/OOD detection.
RI19,Energy-based Out-of-distribution Detection,retain,Energy scores provide a strong post-hoc/energy-based baseline for OOD detection.
RI20,Selective Classification for Deep Neural Networks,retain,Formalizes the accuracy/risk versus coverage trade-off for deep classifiers with rejection.
RI21,SelectiveNet: A Deep Neural Network with an Integrated Reject Option,retain,End-to-end selective prediction can optimize risk–coverage rather than using only post-hoc thresholds.
RI22,Selective Prediction for Semantic Segmentation under Distribution Shift,retain,Selective prediction for semantic segmentation under distribution shift is already directly evaluated in medical imaging.
RI23,Soft Dice Confidence: A Near-Optimal Confidence Estimator for Selective Prediction in Semantic Segmentation,retain,Provides a theoretically motivated image-level confidence estimator for Dice-oriented selective segmentation and evaluates six medical-imaging tasks including OOD scenarios.
RI24,Learning to Abstain: Reliable Medical Image Segmentation With Rejection Option,retain,Directly trains segmentation models to abstain on uncertain pixels and reports improved accepted-pixel Dice across coverage levels.
RI25,Conformal selective prediction with cost aware deferral for safe clinical triage under distribution shift,retain,A combined calibrated conformal deferral pipeline reduces retained-case error at 80% coverage by 49.6% ID and 46.7% OOD; weighted CP is most robust under temporal shift.
RI26,Uncertainty Sets for Image Classifiers Using Conformal Prediction,retain,Conformal prediction can wrap a classifier to achieve finite-sample marginal coverage under exchangeability with efficient label sets.
RI27,Conformal Prediction Under Covariate Shift,retain,Coverage can be extended to covariate shift using likelihood-ratio weighting when the shift assumptions and density ratios are available/estimable.
RI28,Adaptive Conformal Inference Under Distribution Shift,retain,Adaptive conformal inference targets long-run coverage under time-varying distributions without ordinary exchangeability.
RI29,"Distribution-free, Risk-controlling Prediction Sets",retain,Extends finite-sample risk control beyond simple classification coverage to general losses including image segmentation.
RI30,Conformal Prediction for Image Segmentation Using Morphological Prediction Sets,retain,Model-agnostic conformal mask margins provide coverage-controlled segmentation uncertainty on medical applications.
RI31,Conformal forecasting for surgical instrument trajectory,retain,Direct surgical guidance work applies CP/CQR to instrument trajectory forecasts with coverage/interval-size evaluation and multiple-testing corrections.
RI32,A critical perspective on finite sample conformal prediction theory in medical applications,retain,Marginal finite-sample coverage can be practically misleading with small one-time calibration sets because calibration-set-conditional coverage varies substantially.
RI33,Reliable Uncertainty Under Class Imbalance and Distribution Shift: Class-Conditional Conformal Prediction of Multiple Sclerosis,retain,"Marginal CP can hide severe minority-class undercoverage: at 1.5T, MS coverage was 16.9% vs 95.2% controls; class-conditional CP improved MS coverage to 77.5%."
RI34,Beyond Uncertainty: Generalizable Failure Monitoring for Surgical Segmentation under Acquisition Degradation,retain,"Directly targets confident surgical segmentation failures under acquisition degradation; within corrupted frames reports AUROC 0.946 versus entropy 0.594 and shows severity-aware conformal calibration, but false alarms remain substantial."
RI35,Measuring Calibration in Deep Learning,retain,"Calibration conclusions can depend strongly on binning, class conditioning, probability selection and norm; ECE alone is insufficient."
RI36,A Novel Characterization of the Population Area Under the Risk Coverage Curve (AURC) and Rates of Finite Sample Estimators,retain,Formalizes AURC as a principal metric for evaluating selective classifiers across coverage thresholds.
X01,Surgical papers using uncertainty only for pseudo-label filtering,defer-context,Uncertainty is used for training-label quality rather than deployment reliability; examples include UATD-style semi/weak supervision.
X02,Generic OOD benchmarks without medical/surgical evidence,deprioritize,"Foundational methods retained selectively, but natural-image leaderboard rankings are not assumed to transfer."
X03,Adversarial-only uncertainty/detection papers,exclude-scope,"P0.5 focuses on deployment uncertainty, natural/corruption shift and failure monitoring."
X04,Pure explanation/saliency papers,exclude-scope,Interpretability is not equivalent to calibrated reliability.
X05,Calibration papers reporting only ECE without task/failure relevance,deprioritize,P0.5 requires operational reliability or methodological value.
X06,Pure domain adaptation/generalization method papers,defer-P0.4,Distribution-shift mitigation was audited in P0.4 unless reliability estimation is central.
X07,Pure networking/QoS uncertainty papers,defer-P0.6,Network mechanism belongs to P0.6.
X08,LLM abstention papers unrelated to visual surgical inference,exclude-scope,Different output/control setting.
X09,Conformal papers with no relevant classification/segmentation/clinical risk-control connection,deprioritize,Retain CP foundations and task-relevant structured-output/medical work.
