id,name,procedure,domain,modality,scale,fps,resolution,annotations,tasks,centres,access,license,raw_video,split_status,overlap,temporal_fit,spatial_fit,natural_shift,compute,decision,caution,sources
DS01,Cholec80,Laparoscopic cholecystectomy,Human clinical; single-centre/CAMMA Strasbourg,Full endoscopic video,80 videos; 13 surgeons,25 fps,varies in release; commonly 854×480,7 phases at video-frame resolution; 7 tool-presence labels at 1 fps,Phase recognition; tool presence,1,Request/download through CAMMA,CC BY-NC-SA 4.0,Yes,Multiple published/project splits; exact split must be pinned per experiment,Source dataset for CholecT50 and CholecSeg8k; overlaps also documented by CAMMA with newer datasets,Strong,Limited without derived annotations,Limited internal site diversity,~85.2 GB extracted in TF-Cholec80 packaging; ~166 GB free space recommended during preparation,Working temporal candidate,Do not use CholecT50/CholecSeg8k/derived CholecInstanceSeg as independent external test without video-ID de-duplication.,D01;D02;D03
DS02,CholecT50,Laparoscopic cholecystectomy,Human clinical; Strasbourg,Frames extracted from surgical videos,50 videos; 45 from Cholec80 + 5 from Cholec120,Images extracted at 1 fps,source-dependent,Instrument–verb–target triplets; components; phase; limited box annotations,Triplet/action recognition; tool/verb/target recognition; phase,1,Request through CAMMA,CC BY-NC-SA 4.0,Source videos available through dataset access,Official cross-validation and challenge variants,45/50 videos are Cholec80; shares sequences with CholecSeg8k; source of CholecInstanceSeg,Moderate at 1-fps annotation release,Moderate,Low independent-domain value versus Cholec80,Moderate,Secondary task dataset; not independent validation for Cholec80,High provenance-overlap risk.,D04;D05
DS03,CholecSeg8k,Laparoscopic cholecystectomy,Human clinical; derived from Cholec80,RGB frames,"8,080 frames from 17 Cholec80 videos",Sparse frame sequences,854×480,Semantic segmentation; 13 categories,Scene/instrument/anatomy semantic segmentation,1 source centre,Publicly circulated derived dataset; verify canonical release route before experiment,Exact canonical data-license route should be re-verified; source lineage inherits Cholec80 restrictions,No independent raw-video source; derived from Cholec80,Derived-frame benchmark; video-level provenance must be enforced,Subset of 17 Cholec80 videos; 10 image sequences overlap CholecT50 by source sequence according to CholecInstanceSeg paper,Limited,Strong,Not independent from Cholec80,Low–moderate,Secondary spatial dataset only,Do not call it external to Cholec80.,D06;D07
DS04,CholecInstanceSeg,Laparoscopic cholecystectomy,Human clinical; composite derived benchmark,RGB frames + instance masks,"41,933 frames from 85 image sequences",Mixed source sampling; includes sparse and full partitions,source-dependent,Semantic + instance IDs/masks for surgical tools,Tool semantic/instance segmentation,Primarily source datasets from CAMMA,Annotations via Synapse; underlying images obtained from source datasets,Mixed/inherited source terms; verify each source dataset and Synapse terms,Underlying source videos not redistributed as one independent corpus,"Partitions explicitly track CholecSeg8k, CholecT50 and Cholec80 provenance","Composite of CholecT50, CholecSeg8k and Cholec80-derived imagery",Limited–moderate,Very strong,Low as independent external domain; useful for dense tool labels,Moderate,Secondary dense-label resource,Treat provenance at sequence/video level; not an independent domain.,D07
DS05,Endoscapes2023,Laparoscopic cholecystectomy,Human clinical; CAMMA/Strasbourg ecosystem,Sampled video frames with temporal metadata/annotations,"201 source videos; CVS201 has 11,090 annotated frames; Seg50 has 50-video subset",CVS frames every 5 s; segmentation subset sparsely annotated,release-specific,CVS by 3 experts; boxes; semantic/instance segmentation for subsets,CVS assessment; object detection; scene/instrument/anatomy segmentation,Primarily 1 clinical ecosystem,Current PhysioNet files are restricted access with signed DUA; official GitHub documents dataset structure,Route-sensitive: GitHub states CC BY-NC-SA 4.0; PhysioNet-hosted files use Restricted Health Data License 1.5.0 + DUA,Distributed release is annotation/frame-centric; full raw-video availability for arbitrary temporal corruption must be verified,Official video-level 120/41/40 for CVS/BBox; 30/10/10 for Seg50,"CAMMA explicitly warns of overlaps among Endoscapes, Cholec80 and CholecT50; exact IDs must be resolved before cross-dataset testing",Moderate; verify intermediate/full sequence availability,Very strong,Limited centre diversity; strong clinical/safety label value,Moderate; access administration is bigger constraint than storage,Working spatial/safety candidate,Use current PhysioNet access/DUA terms for PhysioNet files; do not redistribute until terms are checked.,D08;D09;D10
DS06,PhaKIR,Laparoscopic cholecystectomy,Human clinical; multicentre Germany,Complete monocular videos,8 complete public-release videos from 3 medical centres,25 fps,1920×1080,Phase every frame; keypoints + instance segmentation at 1 fps; 19 instrument classes,Phase recognition; tool keypoints; instrument instance segmentation,3,Controlled access by request via Zenodo,CC BY-NC-SA,Yes,Public release is 8 videos; original challenge used additional hidden test cases,Independent multicentre collection from German hospitals,Very strong,Very strong,Very strong cross-centre/device value,Moderate; small number of videos,Working multicentre validation candidate,Too small to be sole training corpus; preserve centre identities for leave-one-centre-out tests.,D11;D12
DS07,HeiChole,Laparoscopic cholecystectomy,Human clinical; multicentre Germany,Full endoscopic video,33 videos; 3 centres; ~22 h,Centre/device dependent (25–50 fps reported),Centre/device dependent,7 phases; 4 actions; 21 instruments/7 categories; 5 skill dimensions,Phase; action; instrument presence; skill,3,Public OPARA bundle; original challenge also uses Synapse/hidden-test leaderboard,CC BY-NC-SA 4.0 (OPARA),Yes,Original benchmark had unreleased test data; OPARA now provides a large public bundle—canonical challenge reproduction requires split verification,Independent German multicentre collection,Very strong,"Moderate (presence labels, not dense masks)",Very strong,OPARA bundle ~156.21 GB,High-value natural-shift validation candidate,Large storage; reconcile current public bundle with original hidden-test protocol before claiming leaderboard comparability.,D13;D14;D15
DS08,MultiBypass140,Laparoscopic Roux-en-Y gastric bypass,Human clinical; two centres (Strasbourg/Bern),Full endoscopic video,140 videos; 70 per centre,25 fps,Centre-dependent; Strasbourg normalized to 854×480; Bern 720×576,12 phases; 46 steps; 5 intraoperative adverse-event categories,Phase/step recognition; adverse-event modelling,2,Direct S3 downloads + official GitHub metadata/code,CC BY-NC-SA 4.0 for non-commercial scientific research,Yes,Official 5-fold CV metadata; explicit cross-centre experiments supported,Independent procedure/domain from cholecystectomy benchmarks,Very strong,Limited,Very strong cross-centre/workflow value,Very high storage burden; visible archive parts alone are hundreds of GB,"High-value temporal validation candidate, currently practical hold",As of 2026-09-25 an open issue reports `multibypass03.zip` contains metadata only/no videos; verify repair before committing experiments.,D16;D17;D18
DS09,AutoLaparo,Laparoscopic hysterectomy,"Human clinical; Prince of Wales Hospital, Hong Kong",Full video,"21 videos; 1,388 min total (~23.1 h)",25 fps,1920×1080,Workflow phases; laparoscope motion; instrument + key-anatomy segmentation subsets,Phase/workflow; camera motion; segmentation,1,Request form,CC BY-NC-SA 4.0; academic/non-commercial,Yes,Published baseline uses procedure-level 10 train / 4 val / 7 test,Independent procedure/domain relative to cholecystectomy,Very strong,Strong for annotated subsets,Strong cross-procedure value; limited site diversity,Moderate–high,Secondary cross-procedure validation candidate,"Different anatomy/procedure can create semantic-label mismatch, so cross-task comparisons need harmonization.",D19;D20
DS10,SAR-RARP50,Robot-assisted radical prostatectomy (suturing/DVC phase segments),Human robot-assisted clinical surgery,Robotic endoscopic video + segmentation/action labels,Challenge paper describes 50 RARP suturing video segments,High-frame-rate source video; exact experiment sampling must be pinned,1080-class robotic video,Instrument semantic segmentation + surgical action recognition,Instrument segmentation; action recognition; multitask learning,Dataset collection context should be verified in paper metadata before site-shift claims,Direct UCL Research Data Repository train/test archives,CC BY-NC-SA 4.0,Yes,"Official challenge train/test archives; train ~25.1 GB, test ~6.15 GB",Independent of CAMMA cholecystectomy datasets,Strong,Very strong,Moderate; direct robotic relevance is the main value,~31.25 GB published train+test archives,Working robot-assisted spatial/action candidate,Only one prostatectomy sub-phase; not representative of full surgery workflow.,D21;D22;D23
