dataset_id,dataset,official_access_route,access_model,data_terms,commercial_use,redistribution_derivatives,current_feasibility,legal_access_caution,source_ids
DS01,Cholec80,CAMMA request/download route,Request/form-based,CC BY-NC-SA 4.0,Non-commercial,CC licence permits sharing/adaptation under its conditions; verify request-form terms at download time,Available by request,Re-check exact current download terms before experiment,D01;D02
DS02,CholecT50,CAMMA request route,Request/form-based,CC BY-NC-SA 4.0,Non-commercial,Sharing/adaptation subject to attribution + ShareAlike; provenance constraints remain,Available by request,45/50 videos are Cholec80,D04
DS03,CholecSeg8k,Canonical release route should be re-verified,Publicly circulated,Not sufficiently re-verified from canonical release in P0.3,Assume no commercial permission until verified,Do not redistribute until canonical terms confirmed,Access likely feasible but licence audit incomplete,Source lineage is Cholec80,D06
DS04,CholecInstanceSeg,Synapse annotations + source datasets for images,Controlled/source-composite,Mixed/inherited source terms,Source-dependent,Do not assume one uniform licence; respect source datasets + Synapse terms,Feasible with multi-source setup,Annotations and images have separate provenance,D07
DS05,Endoscapes2023,PhysioNet current hosted route; official CAMMA GitHub docs,Registered + signed DUA on PhysioNet,PhysioNet Restricted Health Data License 1.5.0 for hosted files; CAMMA GitHub separately states CC BY-NC-SA,Restricted / non-commercial context,Treat PhysioNet DUA as controlling PhysioNet files; no redistribution without explicit permission,Feasible after account/DUA,Route-specific terms must not be conflated,D08;D09
DS06,PhaKIR,Controlled Zenodo access by request,Request/controlled,CC BY-NC-SA,Non-commercial,Follow CC terms; controlled access may add handling obligations,Feasible after approval,Good documentation/open formats,D11;D12
DS07,HeiChole,TU Dresden OPARA bundle; original Synapse benchmark,Public repository + benchmark route,CC BY-NC-SA 4.0 on OPARA,Non-commercial,ShareAlike/attribution apply; challenge evaluation may still rely on canonical hidden-test protocol,Public bundle available,Large download; challenge reproduction requires split verification,D13;D14
DS08,MultiBypass140,Direct CAMMA S3 + GitHub,Direct download,CC BY-NC-SA 4.0,Non-commercial scientific research,Redistribution/adaptation under CC conditions,Operationally uncertain today,Open issue reports one archive missing videos,D16;D18
DS09,AutoLaparo,Official request form,Request,CC BY-NC-SA 4.0,Academic/non-commercial,Follow CC conditions; no commercial use,Feasible after approval,Access is not instant,D19
DS10,SAR-RARP50,UCL Research Data Repository,Direct download,CC BY-NC-SA 4.0,Non-commercial,Explicit UCL archive licence; preserve citations,Immediately feasible,Cleanest direct-access robotic clinical candidate,D21;D22;D23
DS11,ESAD,Grand Challenge registration,Registration,Challenge-controlled; non-commercial research context,Non-commercial,Challenge terms/registered-user restrictions should be treated as controlling; do not re-share challenge files,Train/val feasible after registration,Current page says test not released,D24
DS12,JIGSAWS,JHU request form,Request,Academic research only; no named CC licence on official page,No commercial use,Do not redistribute beyond granted terms unless provider permits,Feasible after request,Official page notes alternative-link workflow if download script fails,D25
DS13,HeiCo / ROBUST-MIS,Synapse/challenge scripts,Registered platform,CC BY-NC-SA,Non-commercial,ShareAlike/attribution apply; use challenge scripts for benchmark reproduction,Feasible with account,Good robustness benchmark,D27;D28
DS14,CaDIS,Official CATARACTS Grand Challenge page,Current direct link unresolved,Dataset licence not verified from current primary page,Unknown; do not assume,No redistribution until licence/access confirmed,Not immediately cleanly feasible,Official page currently says download link coming soon,D29;D30
DS15,CATARACTS,IEEE DataPort / challenge route,Repository/challenge access,Official page states no commercial use; exact DataPort licence must be checked,No commercial use,Follow DataPort/challenge terms; new annotations shared through challenge site per FAQ,Feasible with platform access,Different surgical microscope modality,D31;D32
DS16,EndoVis 2017,Official EndoVis/Grand Challenge route,Challenge access,Original data terms must be verified,Unknown until accepted,Do not rely on third-party mirrors for licence,Feasible but legacy,Small porcine benchmark,D33;D34
DS17,EndoVis 2018,Official EndoVis/Grand Challenge route,Challenge access,Original data terms must be verified,Unknown until accepted,Do not rely on paper/article licence as data licence,Feasible but legacy,Porcine scene data,D33;D34
DS18,SurgVU,Official repository/direct public video/label URLs,Direct public,CC BY-NC-SA 4.0,Non-commercial,Follow CC attribution/ShareAlike terms,Feasible but very large,"Porcine training exercises, not human clinical surgery",D35;D36
