dataset_id,dataset,canonical_split_structure,leakage_risk,site_structure,split_evidence,required_rule,provenance_note
DS01,Cholec80,Procedure/video-level splitting required,High if frames randomly split,Single-centre,Multiple benchmark/project splits exist,Must pin exact video IDs; never random-frame split,Related CAMMA datasets overlap source videos
DS02,CholecT50,Official cross-validation/challenge variants,High if combined with Cholec80 without de-duplication,Single-centre,45/50 source videos from Cholec80,Keep source-video IDs in every split,Not independent from Cholec80
DS03,CholecSeg8k,Derived frame subset,Very high if treated independent of Cholec80,Same source centre,17 Cholec80 source videos,"Split by source video, not frames",Derived benchmark
DS04,CholecInstanceSeg,Composite source partitions,Very high if source provenance ignored,Composite CAMMA lineage,Partitions explicitly expose source,Use source_video_id as grouping key,Not an independent external domain
DS05,Endoscapes2023,Official 120/41/40 video split; Seg50 30/10/10,Moderate if cross-dataset CAMMA overlap ignored,Mostly one ecosystem,Official video-level split,Use official split + CAMMA overlap mapping for external tests,CAMMA flags overlap with Cholec80/CholecT50
DS06,PhaKIR,Public 8-video release; original challenge had hidden centre cases,Moderate due small N,3 centres,Centre identity is scientifically valuable,Prefer leave-one-centre-out or centre-stratified analysis,Independent multicentre data
DS07,HeiChole,Original hidden-test benchmark + current OPARA bundle,Moderate if canonical benchmark split is lost,3 centres,Centre/device differences documented,Preserve centre; reproduce challenge split separately from custom centre-shift split,Strong natural shift
DS08,MultiBypass140,Official 5-fold metadata and explicit cross-centre experiments,Low if official metadata followed,2 centres,70 Bern / 70 Strasbourg,Use centre-held-out experiments for natural workflow shift,Excellent split structure; access issue is separate
DS09,AutoLaparo,Published 10/4/7 video split,Low if video IDs preserved,1 centre,21 full procedures,Use video-level split only,Cross-procedure rather than cross-centre external validation
DS10,SAR-RARP50,Official challenge train/test archives,Low if archive split preserved,Site diversity unclear,50 robotic suturing segments total per paper,Group by source case/procedure if metadata permits,"Direct robotic relevance, but limited procedural phase"
DS11,ESAD,Train/val + unreleased test,Moderate due 4 complete procedures,Very small cohort,Frames are nested within 4 sessions,Never split frames across same patient/session,Small N is dominant risk
DS12,JIGSAWS,Standardized cross-validation protocols,Low if official setup used,Training study,8 surgeons,Keep surgeon/task-trial separation as specified,Non-clinical
DS13,HeiCo/ROBUST-MIS,Challenge stages with increasing domain gap,Low; no patient overlap reported in challenge,"1 centre, 3 procedure types",Procedure-domain stages are explicit,Reuse challenge stages before inventing custom split,Strong robustness benchmark
DS14,CaDIS,"Video-level train/val/test; val videos 5,7,16; test 2,12,22",Low if official split used,1 source centre,Derived from 25 CATARACTS training videos,Preserve source video IDs,Not independent from CATARACTS
DS15,CATARACTS,25 train / 25 test videos,Low if video split used,1 centre,50 full procedures,Keep video-level separation,CaDIS derives from training half
DS16,EndoVis2017,Challenge sequence split,Moderate if frames mixed,Porcine robotic,Small number of sequences,Keep sequence IDs intact,Legacy non-human benchmark
DS17,EndoVis2018,Challenge sequence split,Moderate if frames mixed,Porcine robotic,Small benchmark,Keep sequence IDs intact,Legacy non-human benchmark
DS18,SurgVU,Challenge/session-based structure,High if windows/frames cross sessions,Porcine robotic training,155 sessions,"Split by case/session, never clip window",Very large but non-clinical
