id,title,authors,year,venue,type,doi,url,scope,task,topic,method,finding,limit
RI01,On Calibration of Modern Neural Networks,"Guo C, Pleiss G, Sun Y, Weinberger KQ",2017,ICML,General foundational calibration,,https://proceedings.mlr.press/v70/guo17a.html,General,Classification,Calibration,Temperature scaling and post-hoc calibration,Modern neural networks can be miscalibrated; temperature scaling is a strong simple post-hoc baseline.,In-distribution benchmark setting; calibration under shift requires separate evidence.
RI02,Can You Trust Your Model's Uncertainty? Evaluating Predictive Uncertainty Under Dataset Shift,Ovadia Y et al.,2019,NeurIPS,General shift-UQ benchmark,,https://papers.neurips.cc/paper/2019/hash/8558cb408c1d76621371888657d2eb1d-Abstract.html,General,Classification,Calibration under shift,Large-scale comparison of probabilistic/UQ methods,"Accuracy and calibration degrade under dataset shift; ordinary post-hoc calibration can fall short, while model-marginalizing approaches are comparatively strong.","Natural-image/general ML benchmark, not surgical."
RI03,Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles,"Lakshminarayanan B, Pritzel A, Blundell C",2017,NeurIPS,General UQ method,,https://proceedings.neurips.cc/paper_files/paper/2017/file/9ef2ed4b7fd2c810847ffa5fa85bce38-Paper.pdf,General,Classification/regression,Epistemic/predictive UQ,Deep ensembles,Independent ensembles provide a simple high-quality predictive-uncertainty baseline without full Bayesian inference.,Compute/storage cost scales with number of models.
RI04,Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning,"Gal Y, Ghahramani Z",2016,ICML,General UQ method,,https://proceedings.mlr.press/v48/gal16.html,General,Classification/regression,Epistemic UQ,Monte Carlo dropout,Inference-time dropout can approximate Bayesian model uncertainty using repeated stochastic forward passes.,Approximation quality and calibration are task/model dependent.
RI05,What Uncertainties Do We Need in Bayesian Deep Learning for Computer Vision?,"Kendall A, Gal Y",2017,NeurIPS,General UQ taxonomy/method,10.48550/arXiv.1703.04977,https://arxiv.org/abs/1703.04977,General,Segmentation/depth,Aleatoric vs epistemic UQ,Bayesian + heteroscedastic uncertainty modeling,Provides the widely used aleatoric/epistemic distinction and models both in computer vision.,"The conceptual decomposition is useful, but practical disentanglement is model-dependent."
RI06,Uncertainty Estimation in Medical Image Classification: Systematic Review,Kurz A et al.,2022,JMIR Medical Informatics 10(8):e36427,Systematic review,10.2196/36427,https://medinform.jmir.org/2022/8/e36427,Medical imaging,Classification,UQ review,Systematic review of 22 studies,MC dropout and deep ensembles were the most frequently used UQ methods; metrics and evaluation practice were heterogeneous.,Classification-only review covering literature through 2021.
RI07,A review of uncertainty quantification in medical image analysis: Probabilistic and non-probabilistic methods,"Huang L, Ruan S, Xing Y, Feng M",2024,Medical Image Analysis 97:103223,Review,10.1016/j.media.2024.103223,https://doi.org/10.1016/j.media.2024.103223,Medical imaging,Multiple,UQ review,Probabilistic + non-probabilistic UQ taxonomy,"Medical-imaging UQ spans probabilistic, ensemble, deterministic, calibration and other strategies with task-dependent evaluation.",Broad review; not surgical-specific.
RI08,Uncertainty quantification for artificial intelligence in medical imaging: what every radiologist needs to know,Vega Lara F et al.,2026,Abdominal Radiology,Clinical-oriented review,10.1007/s00261-026-05714-8,https://doi.org/10.1007/s00261-026-05714-8,Medical imaging,Multiple,Clinical UQ translation,Narrative review,"Distinguishes prediction confidence from UQ and highlights triage, thresholding, calibration, computational cost and prospective-validation challenges.","Radiology-focused and narrative, not surgical."
RI09,Confidence Calibration and Predictive Uncertainty Estimation for Deep Medical Image Segmentation,Mehrtash A et al.,2020,IEEE Transactions on Medical Imaging 39(12):3868–3878,Medical segmentation primary,10.1109/TMI.2020.3006437,https://doi.org/10.1109/TMI.2020.3006437,Medical imaging,Semantic segmentation,Calibration/UQ,Calibration and predictive uncertainty for FCNs,Medical segmentation networks can be poorly calibrated and overconfident on correct and erroneous pixels; calibration/UQ must be evaluated explicitly.,Non-surgical datasets.
RI10,Improving Calibration and Out-of-Distribution Detection in Deep Models for Medical Image Segmentation,"Karimi D, Gholipour A",2023,IEEE Transactions on Artificial Intelligence 4(2):383–397,Medical segmentation primary,10.1109/TAI.2022.3159510,https://doi.org/10.1109/TAI.2022.3159510,Medical imaging,Segmentation,Calibration + OOD,Multi-task calibration + spectral feature OOD detection,Multi-task training improves calibration and spectral feature-map signatures can identify OOD segmentation inputs.,Medical imaging rather than surgical video.
